Dataset,# Training,% Training,% Defect Training,%Defect Testing,Classifier,Balancing,FeatureSelection,TP,FP,TN,FN,Precision,Recall,ROC Area,Kappa
AVRO,3,0.710298363811357,0.08310749774164408,0.08859357696567,IBk,Over sampling,True,1.0,0.46467391304347827,0.5353260869565217,0.0,0.9595840226896715,1.0,0.797052366673806,0.6787258128297868
AVRO,3,0.710298363811357,0.08310749774164408,0.08859357696567,NB,Over sampling,True,1.0,0.463768115942029,0.5362318840579711,0.0,0.9596596281121966,1.0,0.7923402881892387,0.6795194238876723
AVRO,3,0.710298363811357,0.08310749774164408,0.08859357696567,RF,Smote,True,1.0,0.46195652173913043,0.5380434782608695,0.0,0.9598108747044918,1.0,0.7690217391304348,0.6811041634894006
AVRO,3,0.710298363811357,0.08310749774164408,0.08859357696567,IBk,Smote,True,1.0,0.46195652173913043,0.5380434782608695,0.0,0.9598108747044918,1.0,0.7970610676804455,0.6811041634894006
AVRO,3,0.710298363811357,0.08310749774164408,0.08859357696567,NB,Smote,True,1.0,0.46195652173913043,0.5380434782608695,0.0,0.9598108747044918,1.0,0.7937836141453083,0.6811041634894006
AVRO,4,0.8194006309148265,0.0846968238691049,0.05240174672489083,RF,No sampling,False,0.9127234490010515,0.15151515151515152,0.8484848484848485,0.08727655099894847,0.9848714069591528,0.9127234490010515,0.905544004715929,0.5600392676869427
AVRO,4,0.8194006309148265,0.0846968238691049,0.05240174672489083,IBk,No sampling,False,0.9332281808622502,0.2178030303030303,0.7821969696969697,0.06677181913774974,0.9788602941176471,0.9332281808622502,0.8592487041816694,0.582316297270091
AVRO,4,0.8194006309148265,0.0846968238691049,0.05240174672489083,NB,No sampling,False,0.9279121392686062,0.1994949494949495,0.8005050505050505,0.07208786073139385,0.9804938271604938,0.9279121392686062,0.8753725625220543,0.5767544931645239
AVRO,4,0.8194006309148265,0.0846968238691049,0.05240174672489083,RF,Under sampling,False,0.9241149667017174,0.1875,0.8125,0.07588503329828251,0.9815711094564408,0.9241149667017174,0.8802776217750586,0.5723413111664389
AVRO,4,0.8194006309148265,0.0846968238691049,0.05240174672489083,IBk,Under sampling,False,0.9300385559060638,0.20681818181818182,0.7931818181818182,0.0699614440939362,0.979837518463811,0.9300385559060638,0.8786937991906446,0.5789424850501304
AVRO,4,0.8194006309148265,0.0846968238691049,0.05240174672489083,NB,Under sampling,False,0.9279121392686062,0.19886363636363635,0.8011363636363636,0.07208786073139385,0.9805543552071115,0.9279121392686062,0.8819261150469527,0.5771234660188949
